<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20120625,000000,153.0000000,153.3500000,152.0200000,152.3200000,13640
MTLRP,D,20120626,000000,152.0000000,153.4000000,152.0000000,152.9300000,11190
MTLRP,D,20120627,000000,152.9300000,154.9800000,152.5400000,153.0000000,27680
MTLRP,D,20120628,000000,153.9800000,154.1900000,150.5000000,150.8900000,50070
MTLRP,D,20120629,000000,153.4000000,156.9400000,150.1000000,154.6700000,202220
MTLRP,D,20120702,000000,155.0000000,156.6800000,154.2700000,156.0900000,174910
MTLRP,D,20120703,000000,156.1000000,158.5000000,155.4100000,157.5000000,220600
MTLRP,D,20120704,000000,156.3000000,157.4800000,156.0000000,156.6900000,71660
MTLRP,D,20120705,000000,156.9000000,157.6500000,155.5600000,156.0000000,73020
MTLRP,D,20120706,000000,155.5200000,156.6600000,153.6000000,154.5400000,39970
MTLRP,D,20120709,000000,153.6000000,155.3800000,153.5200000,154.6700000,32360
MTLRP,D,20120710,000000,153.5100000,154.6600000,152.0000000,153.4900000,89910
MTLRP,D,20120711,000000,152.2000000,153.8000000,152.0000000,153.4500000,22170
MTLRP,D,20120712,000000,154.6000000,154.6000000,151.1300000,152.8000000,18390
MTLRP,D,20120713,000000,153.9800000,154.6000000,152.0000000,152.9100000,19980
MTLRP,D,20120716,000000,154.4800000,155.7900000,153.0000000,154.2800000,13230
MTLRP,D,20120717,000000,155.2300000,155.2300000,153.8200000,155.0000000,125990
MTLRP,D,20120718,000000,155.7500000,155.7500000,153.0000000,154.9000000,185040
MTLRP,D,20120719,000000,154.9700000,155.4000000,154.5000000,154.8500000,149700
MTLRP,D,20120720,000000,154.6900000,155.4900000,152.6300000,153.9700000,12520
MTLRP,D,20120723,000000,153.0400000,153.2000000,148.3400000,148.6500000,104840
MTLRP,D,20120724,000000,149.8500000,149.8500000,148.0000000,148.7000000,78310
